Order,Family,Subfamily,Genus,Species,Type Species?,"Exemplar RefSeq
Accession Number","Exemplar GenBank
Accession Number",Exemplar Isolate,Genome Composition,Last Change,MSL of Last Changed,Proposal,Taxon History URL
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,Campylobacter phage CP21,0,,HE815464,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140119
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,Campylobacter phage CP220,1,,FN667788,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140116
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,Campylobacter phage CPt10,0,,FN667789,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140117
Caudovirales,Myoviridae,Eucampyvirinae,Cp220likevirus,Campylobacter phage IBB35,0,,HM246720,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140118
Caudovirales,Myoviridae,Eucampyvirinae,Cp8unalikevirus,Campylobacter phage CP81,1,,FR823450,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140121
Caudovirales,Myoviridae,Eucampyvirinae,Cp8unalikevirus,Campylobacter phage CPX,0,,JN132397,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140122
Caudovirales,Myoviridae,Eucampyvirinae,Cp8unalikevirus,Campylobacter phage NCTC12673,0,,GU296433,,dsDNA,"New,",29,2013.004a-kB.A.v4.Eucampyvirinae,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140123
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,Aeromonas phage phiO18P,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140005
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,Haemophilus phage HP1,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140006
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,Haemophilus phage HP2,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140007
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,Pasteurella phage F108,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140008
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,Vibrio phage K139,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140009
Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus,Vibrio phage Kappa,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140010
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Burkholderia phage phi52237,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140012
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Burkholderia phage phiE12-2,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140014
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Burkholderia phage phiE202,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140013
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Enterobacteria phage 186,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140015
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Enterobacteria phage P2,1,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140016
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Enterobacteria phage PsP3,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140017
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Enterobacteria phage Wphi,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140018
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Mannheimia phage phiMhaA1-PHL101,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140019
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Pseudomonas phage phiCTX,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140020
Caudovirales,Myoviridae,Peduovirinae,P2likevirus,Ralstonia phage RSA1,0,,,,dsDNA,"Moved,",27,2011.010aB.A.v2.Caudovirales_genus-ren,http://ictvonline.org/taxonomyHistory.asp?taxnode_id=20140021
